x,y
163.3599968,53.71199989
157.2173195,50.05748034
151.3953972,45.57960749
145.2068977,41.62387109
138.6955738,38.22572088
131.9095573,35.41605043
124.9005384,33.22121465
117.7232914,31.66223621
110.4350538,30.75409043
103.0946522,30.50508189
95.76161385,30.91694713
88.49531269,31.98657608
81.35433483,33.70411289
74.39542723,36.05304599
67.67275,39.01108432
61.23715878,42.55058956
55.13568068,46.63931131
49.41124725,51.24117899
42.86478233,53.40756369
39.46278524,47.56498504
44.02059484,42.0259831
49.8211565,37.51968002
55.95182419,33.47399497
62.37835646,29.91702771
69.06353283,26.87393278
75.96753597,24.36673462
83.04837894,22.41398633
90.26194191,21.02999197
97.56285,20.22510429
104.9046869,20.00452869
112.2407627,20.36925753
119.5244675,21.3174224
126.7094984,22.84257174
133.7508011,24.93342817
140.6047764,27.57436228
147.2298279,30.74625731
153.5868359,34.42608953
159.6392307,38.58793378
165.3536205,43.20300102
168.5374184,49.36529827
172.25,88.01900005
166.6813946,83.94683075
162.2093563,78.21632576
157.2360115,72.91510963
151.7978764,68.09194517
145.9369678,63.79248095
139.7003632,60.0588975
133.1397591,56.92958689
126.3113251,54.43839836
119.275423,52.61382723
112.0962,51.47751951
104.8406401,51.04280663
97.57712936,51.31423473
90.37424088,52.28923035
83.2994194,53.95643473
76.41747284,56.29569721
69.78975773,59.28024149
63.47346497,62.87738323
57.52131271,67.0495882
51.98152971,71.75567055
46.8973496,76.95064926
42.30638003,82.58630562
37.40392303,87.75584316
31.15804327,85.31893826
32.23837006,78.60068035
36.62427568,72.80331135
41.46008563,67.37557364
46.71816993,62.35585594
52.36700916,57.78038406
58.3716526,53.68305063
64.69379663,50.09498453
71.29217196,47.04461932
78.12260532,44.55714083
85.13833332,42.653898
92.29001236,41.35173535
99.52647972,40.66224194
106.7953377,40.59086347
114.0439749,41.13779521
121.2198133,42.29935718
128.2713232,44.06517696
135.1487637,46.41961169
141.804657,49.3422637
148.1941891,52.8087883
154.2754898,56.79148626
160.0093594,61.25994301
165.3602161,66.18057632
170.2956696,71.51785135
174.787281,77.23371983
177.4135628,83.74778748
87.41699696,188
81.57586193,184.2065887
76.86518002,178.7280922
72.44968176,173.0088959
68.35072279,167.0589199
64.62128162,160.8709946
61.344244,154.4326763
58.64049721,147.7344322
56.68179417,140.7834587
55.70017624,133.6315994
55.87698269,126.4143181
57.0814395,119.2954102
59.28800201,112.4208803
62.45645237,105.9333153
66.5238018,99.96811867
71.41002178,94.65300369
77.01997662,90.10865402
83.24230194,86.44775581
89.94633389,83.76979065
96.98139477,82.15054798
104.181613,81.62837982
111.3776054,82.20587635
118.3998957,83.8796463
125.0831995,86.60902786
131.277667,90.31688309
136.8537292,94.90278244
141.7009296,100.2535057
145.7249603,106.2480421
148.8463402,112.758378
151.0032387,119.6486826
152.1568298,126.7760286
151.7303581,133.8903503
145.5527401,136.4049339
141.8591309,130.8280239
141.1240005,123.6488543
139.1204166,116.7162523
135.8998356,110.2585278
131.56007,104.4933624
126.2333393,99.62598801
120.0858021,95.84909248
113.3245192,93.33221912
106.2005844,92.19352818
98.99127388,92.4700098
91.97674084,94.15616989
85.42764568,97.18291473
79.57843971,101.4075975
74.61943436,106.6493797
70.70279264,112.7101192
67.94810009,119.3799181
66.43692398,126.4363947
66.2200098,133.6484222
67.44542837,140.7593727
69.77490759,147.594162
72.86950779,154.1209869
76.51597977,160.3576183
80.58285522,166.3293171
84.99122715,172.0538807
89.70916557,177.5260487
92.57177448,183.7687683
120.583003,188
113.5229216,186.2855549
107.0739489,182.8597755
101.1377382,178.5992508
95.66484261,173.7562828
90.66031551,168.43046
86.1695652,162.6650944
82.27742672,156.4806004
79.11272812,149.895443
76.85324383,142.9493961
75.7217226,135.7362537
76.04386616,128.4461269
77.87555027,121.3824873
81.17501163,114.8755894
85.89084053,109.3132992
91.85721874,105.1258602
98.73019314,102.7041559
106.0043917,102.2512484
113.1452494,103.7162151
119.6591835,106.9889069
125.1288748,111.8105593
129.2379541,117.8340282
131.722724,124.6892986
132.4690094,131.9445648
133.0796509,139.1985226
136.6417484,145.5047951
142.7275887,149.4160194
149.9447098,149.8292332
156.4257259,146.6203213
160.6292,140.7234974
161.7639122,133.5577259
161.3597775,126.2618113
160.1574669,119.0544033
158.1611595,112.0255175
155.3864498,105.2660503
151.8588524,98.86733246
147.6124401,92.92147541
142.6902313,87.52205944
137.1456184,82.76443386
131.0456457,78.74407482
124.4744072,75.55226612
117.5355234,73.26825523
110.3506727,71.94853878
103.0533562,71.59754944
95.77150059,72.18568707
88.62862682,73.71847916
81.74844933,76.17463684
75.24643135,79.50570774
69.22343969,83.64075565
63.76178598,88.49351025
58.94396877,93.98593903
54.83599758,100.0278797
51.48788023,106.5218868
48.93891668,113.3692598
47.21970177,120.4705105
46.35267758,127.7253428
46.35040951,135.0317783
47.21250534,142.2872181
48.9253583,149.3900375
51.46775961,156.2398472
54.81145096,162.7360973
58.91963577,168.7778111
59.87831593,175.4921169
53.51029634,177.6834221
48.58072758,172.4334755
44.71734977,166.2307968
41.51337957,159.6631832
38.99480724,152.8032398
37.18299675,145.7238522
36.09493446,138.4976921
35.74331927,131.1985798
36.13388729,123.9014034
37.26137638,116.681345
39.11337972,109.6123714
41.671731,102.7672615
44.91324878,96.21799278
48.80959797,90.03595543
53.32622671,84.29159164
58.42134333,79.05362129
64.03677893,74.37761974
70.11571646,70.32281733
76.59830475,66.9509778
83.41243935,64.31292009
90.47679329,62.44556761
97.70423508,61.36996222
105.005991,61.09001255
112.2952967,61.59854555
119.4805479,62.92582226
126.4674768,65.06377506
133.1685314,67.9769659
139.5055122,71.61510992
145.4111214,75.91843605
150.8289089,80.82207298
155.7112503,86.25923347
160.0180779,92.16289997
163.7153187,98.46631527
166.7744675,105.1029758
169.1723995,112.0062246
170.8919315,119.1089373
171.9230633,126.3437357
172.2640057,133.6437893
171.5569,140.8996964
168.902914,147.685873
164.467886,153.4670868
158.585762,157.7654095
151.7127476,160.1766529
144.4343967,160.4636154
137.392313,158.6038799
131.1975918,154.7707481
126.3423004,149.3379536
123.1915207,142.7677631
121.9801178,135.5820446
121.725913,128.2841473
119.2415638,121.4567947
114.3517456,116.0847826
107.7464275,113.0782919
100.4920225,113.0481443
93.96919632,116.2052727
89.25915527,121.7415609
86.67312145,128.5470171
86.25340557,135.8182316
87.7392807,142.9626141
90.52887726,149.7111797
94.27798843,155.9812565
98.74761677,161.7619896
103.7934866,167.0477982
109.3524656,171.7904568
115.4686337,175.7810822
122.4122505,177.8349876
125.7512522,183.6840534
140.064003,177.7310066
132.955843,176.7140675
126.2706232,174.0672779
120.1674995,170.2575512
114.7005253,165.5774307
109.9075584,160.2079754
105.8374386,154.2716179
102.5583916,147.864502
100.1563072,141.0802612
98.72562027,134.0276566
98.45642185,126.8502293
103.6685905,122.7186594
108.7497082,127.0102196
109.3502426,134.1793289
111.1377468,141.1471386
114.0582809,147.7224293
117.9765148,153.7571602
122.8019457,159.0932636
128.4937048,163.4880638
135.024929,166.4716301
142.0988293,167.6404152
145.2111835,173.5189476
