x,y
37.98519897,62.24509735
48.02867584,56.70886383
55.56230087,47.56384277
63.0482933,38.36134109
71.26529846,29.80862732
80.38446045,22.23053265
90.50853195,16.06962128
101.5962143,11.90613279
113.3253479,10.30798006
125.0823273,11.65131187
136.1814438,15.76076508
145.9668427,22.42177334
154.0715408,31.06018066
160.5135788,41.00934563
165.5126572,51.76164246
169.3214706,62.9939476
172.3906357,74.45328598
177.3995621,85.10333481
185.6803711,81.7385582
181.0882874,70.95394287
178.0209274,59.49555511
174.1947891,48.26911392
169.2335968,37.49793282
162.9901108,27.41903725
155.3345764,18.37127743
146.2022232,10.82513275
135.7431854,5.268631744
124.3634216,1.982137215
112.5603638,1.019130283
100.8070587,2.49380939
89.55449142,6.202476215
79.10342712,11.79339123
69.56170807,18.83158569
60.89970474,26.93235588
53.01513443,35.79444389
45.72374458,45.15335503
37.26679001,53.35664825
154.4455948,80.07620239
157.0814148,68.6178627
155.4396255,57.01344757
148.677858,47.4889679
138.2971024,42.03854408
126.6222183,41.86088181
115.825528,46.50992279
106.558165,53.79415359
98.35104523,62.27912216
89.74492569,70.36205215
80.75067978,78.01039276
71.3121727,85.10148697
61.262677,91.28488617
50.62215576,96.39603119
39.54542961,100.4684021
35.59991608,108.8495178
46.73016815,107.9000381
57.66317673,103.4506439
68.18711319,98.10296478
78.10173264,91.7000946
87.48824387,84.53967972
96.45484161,76.85880966
105.0380768,68.75157471
113.269133,60.29015808
122.7475769,53.30033188
134.0456299,50.6128952
144.2428833,56.13078384
147.8486267,67.090271
145.0041824,78.46019745
138.5543045,88.31749115
130.4690247,96.91178131
121.5318909,104.6234772
112.0596207,111.6702393
102.2147385,118.1878143
92.20185242,124.4459976
82.09135132,130.5451385
71.86923218,136.4552338
61.50626068,142.1144073
50.94672394,147.3963013
42.92626801,154.6607025
52.34519119,156.990625
62.96495361,151.8313507
73.37480469,146.2592392
83.63620911,140.4176743
93.78146667,134.3764786
103.8274002,128.1714767
113.7557236,121.7806549
123.3846863,114.9487015
132.5792679,107.544014
141.1432129,99.42121124
148.6971802,90.35894241
79.55540009,45.36040115
71.73443604,54.57389908
63.04693146,62.96781616
53.06154938,69.73325272
42.37282143,75.36780624
36.78899803,83.58996506
47.75503006,83.07399597
58.37074432,77.29945526
68.37220154,70.54990692
77.16383667,62.26685486
85.07086411,53.12792206
93.56696777,44.54108467
103.1968384,37.26206894
114.0361252,31.97989197
125.4184738,28.47446861
120.2465424,21.0983305
108.5837067,24.16401749
97.83562622,29.65246086
88.17239304,36.89433823
43.3689003,134.3990051
54.4478508,130.1497757
65.27739105,125.2982681
75.85122452,119.9120941
86.13630371,113.9934113
96.08343658,107.5232925
105.6273239,100.4724716
114.6841614,92.8068222
123.1491455,84.49310989
130.8942093,75.50590286
134.2110489,65.22208939
124.8522552,68.11452942
117.2345215,77.2089592
108.8298965,85.58299866
99.7884079,93.26625061
90.23084869,100.2981766
80.2522171,106.7193329
69.92490463,112.5637497
59.30187912,117.8520203
48.41724014,122.5781311
37.76958122,127.4734955
169.8987976,162.0791046
159.3703537,156.7173157
149.5834808,150.0528
139.8873016,143.2550476
129.6363327,137.3563705
118.1393219,135.8960114
107.4691711,140.9701782
97.39910889,147.1996399
87.48387527,153.6743515
77.57501831,160.1588257
67.51684418,166.4077805
56.89700699,171.5835999
56.70179825,180.4754028
67.74254227,176.943338
77.95142212,170.9468857
87.90607986,164.5332275
97.7994812,158.0251266
107.7717468,151.6390259
118.0820923,145.827037
129.1302277,147.5023544
139.0446121,153.9705185
148.7168335,160.8028778
158.7133453,167.1431244
169.6841599,170.9669449
158.256395,184.8584991
148.0417847,179.4796204
138.1871078,173.4382217
128.1396042,167.7295517
117.1478973,164.6315582
106.6232452,169.2217728
96.92510071,175.5082397
87.46640625,182.1521729
78.10558853,188.9336792
70.3192421,196.8746674
78.72834244,199.9751282
88.07775269,193.1778778
97.48027496,186.4544769
107.0309982,179.9440155
117.0369095,174.1886154
127.6297821,178.0229034
137.5467407,183.9600433
147.4551224,189.9115387
158.101091,193.6643829
142.5512024,207.9752899
132.9205414,201.2695343
122.8614594,195.2698242
111.4361404,194.6655701
101.4693863,200.783606
92.66569214,208.536499
90.97247314,218.1669891
100.6489029,213.772229
109.6518005,206.255368
120.3507477,204.3407501
130.1796509,210.7314545
140.1978668,216.5178619
183.4690094,111.9919983
172.4281052,106.0423294
166.4138794,95.29453735
157.5726944,94.29019928
160.6675476,106.1714218
169.4313477,115.0704987
180.6972717,120.5310989
174.4432007,136.256105
164.6744537,131.6731857
156.0671967,125.1624466
149.6198929,116.5358887
141.7993134,111.7056152
141.7231995,121.198468
147.9722183,129.9991394
156.0025864,137.2188934
165.3215073,142.6791626
175.5273483,144.8555008
